Company,Location,Job Function,Date of Submission,Hiring Interns,Year Founded,Size Range,Current Employee Estimate
1010Data,"New York, Virginia, Tennessee, Georgia, California, Remote","Business/Strategy,Software Engineer,Sales,Customer Service,Product Manager,Finance/Accounting",4/10/20 0:27,No,2000,201 - 500,171
1Password,US,Software Engineer,4/10/20 0:25,Yes,2005,Nov-50,23
3Degrees,California,Legal,4/8/20 3:32,No,2007,10-Jan,1
Accenture,California,Consulting,4/8/20 0:57,Yes,1989,10001+,190689
Accuro Group,California,Operation,4/17/20 18:51,No,2003,Nov-50,20
"Aclima, Inc.",California,"Software Engineer,Hardware Engineer",4/8/20 2:49,No,2010,Nov-50,22
Acronym,New York,"Software Engineer,Designer,Marketing,Finance/Accounting",4/23/20 19:20,No,1995,51 - 200,90
Activision,Minnesota,Operation,4/16/20 5:02,No,1991,1001 - 5000,1141
Adams & Martin Group,California,Operation,4/16/20 5:23,No,1994,51 - 200,56
Addepar,New York,Software Engineer,4/21/20 11:10,No,2009,201 - 500,213
Aditi Consulting,California,Operation,4/16/20 5:20,No,1994,201 - 500,183
Adobe,California,Business/Strategy,4/16/20 5:07,Yes,1982,10001+,14176
Advanced Clinical,Ohio,HR,4/17/20 18:51,No,1994,201 - 500,218
Aera Technology,California,Legal,4/8/20 3:26,No,2005,201 - 500,102
Afresh Technologies,California,"Software Engineer,Operations,Marketing,Sales,Product Manager",4/23/20 19:20,No,2009,Nov-50,8
Ahead,California,"Software Engineer,Designer,Operations",4/23/20 19:20,No,2007,201 - 500,223
Airtable,San Francisco,"HR,Data Science,Customer Service,Designer,Finance/Accounting,IT,Product Designer,Product Manager,Sales,Software Engineer",4/24/20 14:24,No,2012,51 - 200,45
Airwallex,California,"Software Engineer,Product Manager,Sales,Other",4/8/20 2:55,No,2015,51 - 200,49
Airwave,California,Customer Service,4/17/20 18:51,No,2001,501 - 1000,262
Ajilon,California,HR,4/17/20 18:51,No,1994,1001 - 5000,1381
Albert,California,"Software Engineer,Customer Service,Legal,HR,Product Manager",4/10/20 0:41,No,2015,51 - 200,37
Alert Innovation,"Boston, Remote","Software Engineer,Hardware Engineer",4/13/20 20:39,No,2016,51 - 200,36
Allcall,New York,Software Engineer,4/23/20 19:20,No,2009,10-Jan,1
Allergan,California,Operation,4/17/20 18:51,No,1948,10001+,9852
Almanac,California,"Software Engineer,Product Designer,Sales,Marketing,Designer",4/8/20 2:57,No,2009,Nov-50,12
Alto Pharmacy,California,"Software Engineer,Operations,Marketing,Sales,Product Manager,Finance/Accounting",4/23/20 19:20,No,2015,51 - 200,65
Amazon,Washington ,"Software Engineer,Product Manager,Operations,IT,Other",4/9/20 13:32,Yes,1994,10001+,93247
Amazon Web Services,Washington,Software Engineer,4/22/20 16:26,No,2006,10001+,16751
Ambition,Maryland,Data Science,4/16/20 5:01,No,1999,201 - 500,245
American Family Insurance,Remote,"Software Engineer,Data Science,IT,Other,Sales",4/13/20 9:01,No,1927,10001+,10465
Amino,California,Software Engineer,4/23/20 19:20,No,2013,51 - 200,26
Amplitude,California,"Designer,Marketing",4/7/20 21:28,No,2012,51 - 200,27
"Anaconda, Inc.",California,Operation,4/17/20 18:51,No,2012,51 - 200,64
Analytic Partners,New York,IT,4/22/20 15:21,No,2000,201 - 500,131
Anchorage,California,Legal,4/17/20 18:51,No,2017,10-Jan,2
Andela,New York,Software Engineer,4/16/20 4:58,No,2014,1001 - 5000,689
Anheuser-Busch,California,HR,4/17/20 18:51,No,1852,5001 - 10000,3493
Animoto,New York,"Designer,Marketing,Product Manager",4/23/20 19:20,No,2006,51 - 200,69
"Anthem, Inc.",California,Data Science,4/17/20 18:51,No,2004,10001+,13715
Antler,Singapore,"Software Engineer,Hardware Engineer,Designer,Operations,Marketing,Data Science,Product Manager",4/23/20 19:20,No,1914,51 - 200,79
Apex Systems,California,Marketing,4/17/20 10:00,No,1995,5001 - 10000,3462
Apiture,"North Carolina, Texas","Customer Service,Software Engineer,Product Manager",4/23/20 16:59,No,2000,51 - 200,54
Appdynamics,California,Software Engineer,4/24/20 3:45,No,2008,1001 - 5000,1005
Appfire,Georgia,Marketing,4/17/20 10:00,No,2004,51 - 200,32
Appian Corporation,California,Operation,4/17/20 18:51,No,1999,1001 - 5000,636
Apple,California,"Hardware Engineer,Data Science,Sales,HR",4/7/20 21:30,Yes,1976,10001+,90095
Applico,New York,"Customer Service,Sales",4/24/20 16:18,No,2009,Nov-50,12
Applied Intuition,California,Sales,4/7/20 21:30,No,2017,10-Jan,1
Applied Resource Group,Georgia,Customer Service,4/17/20 18:51,No,2010,51 - 200,27
Apptio,"Morrisville, NC",Consulting,4/22/20 15:25,No,2007,1001 - 5000,540
Arcadia,Maryland,"Software Engineer,Designer,Operations,Marketing",4/23/20 19:20,No,1993,1001 - 5000,374
Arctic Wolf Networks,Minnesota,Customer Service,4/17/20 10:01,No,2012,201 - 500,119
"Ardelyx, Inc.",California,Operation,4/17/20 18:51,No,2007,51 - 200,56
Armis,California,"Software Engineer,Marketing,Sales,Data Science",4/23/20 19:20,No,2005,51 - 200,52
Asana,"New York, California","Software Engineer,Product Designer,Product Manager,IT,Legal,Operations,HR,Marketing,Business/Strategy,Customer Service,Sales,Other,Designer,Data Science,Finance/Accounting",4/9/20 12:29,No,2009,201 - 500,244
Asurion,Phillipines,Software Engineer,4/8/20 0:05,No,1994,5001 - 10000,4995
Atlassian,"Texas, Massachusetts, New York, Washington D.C., California","Data Science,Software Engineer,Product Designer,Designer,HR,Marketing",4/10/20 0:45,Yes,2002,1001 - 5000,1607
Attivo Partners,California,"Operations,Finance/Accounting",4/23/20 19:20,No,2017,Nov-50,7
Audentes Therapeutics,California,Legal,4/8/20 3:37,No,2013,201 - 500,102
Audible,"New Jersey, Massachusetts","IT,Customer Service,Product Manager,Designer,Marketing,Finance/Accounting,HR,Product Designer",4/8/20 17:56,Yes,1995,10-Jan,4
Autodesk,San Francisco,Software Engineer,4/19/20 13:17,Yes,1982,10001+,7020
Axios,Remote,Software Engineer,4/7/20 19:41,No,2016,201 - 500,107
Axon,"Arizona, Washington ","HR,Product Designer,Product Manager,Sales,Software Engineer,Data Science,Finance/Accounting",4/8/20 7:34,No,1993,501 - 1000,456
Back,Germany,"Software Engineer,Marketing",4/23/20 19:20,No,2008,10-Jan,2
Back Market,California,HR,4/17/20 18:51,No,2014,51 - 200,51
Baker Hughes,North Carolina,Customer Service,4/17/20 18:51,No,1907,10001+,29481
Barclays,Virginia,"Operation,Finance/Accounting",4/16/20 5:22,Yes,1986,10001+,36200
Barings,North Carolina,Finance/Accounting,4/9/20 23:10,No,1989,1001 - 5000,867
Beacon Hill Staffing Group,New York,HR,4/17/20 18:51,No,2000,1001 - 5000,831
Because,California,Product Manager,4/17/20 18:51,No,2016,51 - 200,22
Belden Inc.,California,HR,4/17/20 18:51,No,1902,1001 - 5000,1232
Benchling,California,"Software Engineer,Designer,Operations,Marketing,Sales,Finance/Accounting,Product Manager",4/23/20 19:20,No,2012,51 - 200,32
Better Mortgage,New York,"Software Engineer,Designer,Operations,Marketing,Sales,Customer Service,Finance/Accounting,Data Science,Product Manager",4/23/20 19:20,No,2014,201 - 500,111
Beyond Meat,California,Legal,4/8/20 3:21,No,2009,51 - 200,86
Bidalgo,California,Customer Service,4/17/20 18:51,No,2010,51 - 200,66
"Big Data Federation, Inc.",California,"Software Engineer,Operations",4/23/20 19:20,No,2015,Nov-50,6
Blackstone,New York,"Data Science,Software Engineer",4/8/20 3:09,Yes,1985,51 - 200,59
Blend,"California, New York","Customer Service,Designer,Finance/Accounting,IT,Marketing,Legal,Operations,Product Designer,Software Engineer,Sales",4/22/20 0:30,Yes,2012,201 - 500,178
Bloomberg,New York,Software Engineer,4/27/20 18:51,Yes,1981,1001 - 5000,560
Bloomscape,Michigan,"Product Manager,Operations,Customer Service",4/14/20 14:53,No,2017,10-Jan,3
Blue Apron,California,HR,4/17/20 18:51,No,2012,1001 - 5000,636
Blue Chip Talent,New York,HR,4/17/20 18:51,No,1994,51 - 200,40
